Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,video_views_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,Population,Latitude,Longitude
The ACE Family,18500000,4558380251.0,People & Blogs,The ACE Family,712,Unknown,People,1572.0,25.0,2835000.0,709.0,11300.0,8500.0,136100.0,0.0,2016.0,0.0,0.0,0.0
Like Nastya Vlog,18500000,8147575884.0,People & Blogs,Like Nastya Vlog,493,Russia,People,630.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016.0,144373535.0,61.52401,105.318756
Willie Salim,18500000,4051072188.0,People & Blogs,Willie Salim,679,Indonesia,People,1868.0,25.0,197369000.0,49300.0,789500.0,592100.0,9500000.0,1600000.0,2014.0,270203917.0,-0.789275,113.921327
PDK Films,18400000,4120324310.0,Entertainment,PDK Films,111,United States,Entertainment,1825.0,116.0,14430000.0,3600.0,57700.0,43300.0,692600.0,0.0,2009.0,328239523.0,37.09024,-95.712891
TheWillyrex,18400000,7038827526.0,Comedy,TheWillyrex,6943,Spain,Games,825.0,33.0,11004000.0,2800.0,44000.0,33000.0,528200.0,0.0,2011.0,47076781.0,40.463667,-3.74922
RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18400000,11544297793.0,Music,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,3159,Thailand,Music,346.0,103.0,54133000.0,13500.0,216500.0,162400.0,2600000.0,100000.0,2011.0,69625582.0,15.870032,100.992541
Dhar Mann,18400000,11280732382.0,People & Blogs,Alejandro Basalo,0,Unknown,Unknown,4057944.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2007.0,0.0,0.0,0.0
shakiraVEVO,18400000,25367126292.0,Music,shakiraVEVO,197,United States,Music,72.0,103.0,267126000.0,66800.0,1100000.0,801400.0,12800000.0,0.0,2009.0,328239523.0,37.09024,-95.712891
Naisa Alifia Yuriza (N.A.Y),18300000,1606834186.0,People & Blogs,Naisa Alifia Yuriza (N.A.Y),786,Indonesia,Entertainment,6502.0,117.0,17063000.0,4300.0,68300.0,51200.0,819000.0,0.0,2017.0,270203917.0,-0.789275,113.921327
Miley Cyrus,18300000,7760819588.0,Entertainment,Miley Cyrus,142,United States,Entertainment,696.0,117.0,127982000.0,32000.0,511900.0,383900.0,6100000.0,100000.0,2009.0,328239523.0,37.09024,-95.712891
IShowSpeed,18300000,1556003039.0,Gaming,IShowSpeed,1324,United States,Games,6734.0,33.0,140261000.0,35100.0,561000.0,420800.0,6700000.0,800000.0,2016.0,328239523.0,37.09024,-95.712891
Good Mythical Morning,18300000,8798044678.0,Entertainment,Goodmythicalmorning,0,Unknown,Unknown,3612215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby chourasiya,18200000,9937823152.0,People & Blogs,Bobby chourasiya,442,Unknown,People,452.0,27.0,467848000.0,117000.0,1900000.0,1400000.0,22500000.0,1000000.0,2019.0,0.0,0.0,0.0
INCRï¿½ï¿,18200000,3213324455.0,People & Blogs,INCRï¿½ï¿,6903,Brazil,Howto,2610.0,15.0,18045000.0,4500.0,72200.0,54100.0,866200.0,0.0,2017.0,212559417.0,-14.235004,-51.92528
Jake Fellman,18100000,13378360425.0,Entertainment,Jake Fellman,420,United States,Entertainment,274.0,118.0,497044000.0,124300.0,2000000.0,1500000.0,23900000.0,700000.0,2012.0,328239523.0,37.09024,-95.712891
GEN HALILINTAR,18100000,3306242674.0,Entertainment,GEN HALILINTAR,1037,Indonesia,Entertainment,2498.0,119.0,27312000.0,6800.0,109200.0,81900.0,1300000.0,0.0,2015.0,270203917.0,-0.789275,113.921327
SQUEEZIE,18100000,9983065083.0,Gaming,SQUEEZIE,1521,France,Entertainment,443.0,119.0,48099000.0,12000.0,192400.0,144300.0,2300000.0,100000.0,2011.0,67059887.0,46.227638,2.213749
Blippi - Educational Videos for Kids,18100000,14857290259.0,Education,Blippi - Educational Videos for Kids,707,United States,Education,224.0,26.0,180412000.0,45100.0,721600.0,541200.0,8700000.0,300000.0,2014.0,328239523.0,37.09024,-95.712891
officialpsy,18100000,10703830496.0,Music,officialpsy,131,South Korea,Music,393.0,104.0,64989000.0,16200.0,260000.0,195000.0,3100000.0,0.0,2010.0,51709098.0,35.907757,127.766922
Ajay Sharma,18100000,12249828886.0,Entertainment,Ajay Sharma,0,Unknown,Unknown,4057944.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009.0,0.0,0.0,0.0
Manual do Mundo,18000000,3980991248.0,Howto & Style,Manual do Mundo,2470,Brazil,Tech,1922.0,8.0,54766000.0,13700.0,219100.0,164300.0,2600000.0,100000.0,2006.0,212559417.0,-14.235004,-51.92528
How Ridiculous,18000000,9601137077.0,Sports,How Ridiculous,650,Australia,Sports,478.0,6.0,391298000.0,97800.0,1600000.0,1200000.0,18800000.0,600000.0,2009.0,25766605.0,-25.274398,133.775136
And TV,18000000,15412333005.0,Entertainment,ANDtv,45,United States,Entertainment,4012108.0,6667.0,4.0,0.0,0.02,0.01,0.19,0.0,2006.0,328239523.0,37.09024,-95.712891
Sebastiï¿½ï¿½ï¿½,18000000,10463166404.0,News & Politics,Sebastiï¿½ï¿½ï¿½,237,United States,Music,406.0,105.0,110776000.0,27700.0,443100.0,332300.0,5300000.0,0.0,2013.0,328239523.0,37.09024,-95.712891
SonyMusicSouthVEVO,18000000,17921124985.0,Music,SonyMusicSouthVEVO,5692,United States,Music,148.0,104.0,257597000.0,64400.0,1000000.0,772800.0,12400000.0,100000.0,2014.0,328239523.0,37.09024,-95.712891
TheGrefg,18000000,6404852037.0,Gaming,TheGrefg,3566,Spain,Games,950.0,34.0,43830000.0,11000.0,175300.0,131500.0,2100000.0,0.0,2012.0,47076781.0,40.463667,-3.74922
